Filename,Format,Size,Created,Modified,Accessed,Parsed Date/Time,Formatted Date,Location,District,Latitude,Longitude,Cloudcover (%),Precipitation (mm),Humidity (%),Windspeed (km/h),Weathercode,Weather Description,Image Type,Flight ID,Sequence Number
DJI_20231218173024_0104_D_000058.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.188136,2024-11-02 16:13:42,2025-06-28 19:04:32.607240,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000058
DJI_20231218173024_0104_D_000155.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.500136,2024-11-02 16:16:14,2025-06-28 19:04:32.615241,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000155
DJI_20231216170549_0122_D_000205.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.072136,2024-12-17 12:05:13,2025-06-28 19:04:32.615241,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000205
DJI_20231216165225_0120_D_000201.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.840136,2024-12-17 12:05:17,2025-06-28 19:04:32.615241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000201
DJI_20231216170023_0121_D_000144.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:15.276136,2024-12-17 12:06:11,2025-06-28 19:04:32.615241,2023-12-16 17:00:23,"Saturday, December 16, 2023 at 05:00:23 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0121,000144
DJI_20231216165225_0120_D_000193.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.804136,2024-12-17 12:05:16,2025-06-28 19:04:32.615241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000193
DJI_20231216171115_0123_D_000091.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.796136,2024-12-17 12:05:44,2025-06-28 19:04:32.615241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000091
DJI_20231216165225_0120_D_000108.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.372136,2024-12-17 12:05:43,2025-06-28 19:04:32.615241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000108
DJI_20231218173024_0104_D_000038.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.140136,2024-11-02 16:13:12,2025-06-28 19:04:32.615241,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000038
DJI_20231216171115_0123_D_000024.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.604136,2024-12-17 12:06:28,2025-06-28 19:04:32.615241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000024
DJI_20231218173024_0104_D_000127.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.416136,2024-11-02 16:15:30,2025-06-28 19:04:32.615241,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000127
DJI_20231216171115_0123_D_000064.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.716136,2024-12-17 12:05:46,2025-06-28 19:04:32.615241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000064
DJI_20231216170549_0122_D_000207.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.080136,2024-12-17 12:05:13,2025-06-28 19:04:32.619241,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000207
DJI_20231216165225_0120_D_000127.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.472136,2024-12-17 12:05:35,2025-06-28 19:04:32.619241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000127
DJI_20231218173024_0104_D_000100.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.352136,2024-11-02 16:14:48,2025-06-28 19:04:32.619241,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000100
DJI_20231216171115_0123_D_000090.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.792136,2024-12-17 12:05:42,2025-06-28 19:04:32.619241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000090
DJI_20231216170549_0122_D_000213.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.084136,2024-12-17 12:06:05,2025-06-28 19:04:32.619241,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000213
DJI_20231216171115_0123_D_000031.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.620136,2024-12-17 12:06:28,2025-06-28 19:04:32.619241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000031
DJI_20231216171115_0123_D_000124.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.896136,2024-12-17 12:05:33,2025-06-28 19:04:32.619241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000124
DJI_20231216170549_0122_D_000227.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.128136,2024-12-17 12:06:04,2025-06-28 19:04:32.619241,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000227
DJI_20231216170549_0122_D_000075.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:15.636136,2024-12-17 12:06:15,2025-06-28 19:04:32.619241,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000075
DJI_20231216165225_0120_D_000068.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.196136,2024-12-17 12:06:18,2025-06-28 19:04:32.619241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000068
DJI_20231216165225_0120_D_000107.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.368136,2024-12-17 12:05:37,2025-06-28 19:04:32.619241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000107
DJI_20231218173024_0104_D_000097.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.336136,2024-11-02 16:14:42,2025-06-28 19:04:32.619241,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000097
DJI_20231216165225_0120_D_000254.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.980136,2024-12-17 12:05:57,2025-06-28 19:04:32.619241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000254
DJI_20231216171115_0123_D_000011.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.556136,2024-12-17 12:05:50,2025-06-28 19:04:32.619241,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000011
DJI_20231216165225_0120_D_000145.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:14.564136,2024-12-17 12:06:10,2025-06-28 19:04:32.619241,2023-12-16 16:52:25,"Saturday, December 16, 2023 at 04:52:25 PM",Banawadi,Satara,17.3179823,74.1943023,1,0.0,74,10.4,0,Clear sky,Mosaic,0120,000145
DJI_20231216170549_0122_D_000074.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:15.632136,2024-12-17 12:06:15,2025-06-28 19:04:32.623240,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000074
DJI_20231218173024_0104_D_000109.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.388136,2024-11-02 16:15:02,2025-06-28 19:04:32.623240,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000109
DJI_20231216171115_0123_D_000143.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.964136,2024-12-17 12:05:26,2025-06-28 19:04:32.623240,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000143
DJI_20231218173024_0104_D_000206.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.676136,2024-12-17 12:04:53,2025-06-28 19:04:32.623240,2023-12-18 17:30:24,"Monday, December 18, 2023 at 05:30:24 PM",Banawadi,Satara,17.3179823,74.1943023,100,0.0,66,11.7,3,Overcast/Cloudy,Mosaic,0104,000206
DJI_20240923110852_0104_D_000113.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:17.896136,2024-12-17 12:05:49,2025-06-28 19:04:32.623240,2024-09-23 11:08:52,"Monday, September 23, 2024 at 11:08:52 AM",Banawadi,Satara,17.3179823,74.1943023,96,0.2,76,9.6,51,Light drizzle,Mosaic,0104,000113
DJI_20231216171115_0123_D_000140.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.952136,2024-12-17 12:05:26,2025-06-28 19:04:32.623240,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000140
DJI_20231216171115_0123_D_000068.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.732136,2024-12-17 12:05:49,2025-06-28 19:04:32.623240,2023-12-16 17:11:15,"Saturday, December 16, 2023 at 05:11:15 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0123,000068
DJI_20231216170549_0122_D_000295.jpg,JPEG,"(3840, 2160)",2025-06-27 14:35:16.336136,2024-12-17 12:05:03,2025-06-28 19:04:32.623240,2023-12-16 17:05:49,"Saturday, December 16, 2023 at 05:05:49 PM",Banawadi,Satara,17.3179823,74.1943023,0,0.0,74,11.0,0,Clear sky,Mosaic,0122,000295
